aggrigator name,grn_number,type_of_submission,purchase_invoice_number,purchase_invoice_date,dispatched_state,dispatched_place, invoice_quantity , plant_quantity ,aggregator_wbs_number,aggregator_wbs_date,plant_wbs_number,plant_wbs_date,vehicle_number,eway_bill_number,lr_number,lr_date
AH scrap traders,316,Monthly,204,05-05-2022,Maharashtra,Mumbai," 10,440.00 "," 10,375.00 ",402,05-05-2022,6282 / 6285,08-05-2022,MH03CV5126,2114 2667 6575,,
AH scrap traders,340,Monthly,205,07-05-2022,Maharashtra,Mumbai," 12,960.00 "," 12,920.00 ",11331,06-05-2022,6362 / 6366,11-05-2022,DD01C9472,2214 2752 2634,,
AH scrap traders,499,Monthly,212,28-05-2022,Maharashtra,Mumbai," 9,480.00 "," 9,400.00 ",895,07-05-2022,007/ 11 ,30-05-2022,MH16CC6775,2214 3587 9001,,
Ayan traders,306,Monthly,294,04-05-2022,Maharashtra,Pune," 9,610.00 "," 9,525.00 ",2823,04-05-2022,6247 / 6251,06-05-2022,DN09M9989,2614 2624 4054,,
Ayan traders,362,Monthly,295,12-05-2022,Maharashtra,Pune," 7,135.00 "," 7,070.00 ",3915,12-05-2022,6419 / 6424,14-05-2022,MH04FJ4253,2814 2940 2262,,
Ayan traders,372,Monthly,296,13-05-2022,Maharashtra,Pune," 10,020.00 "," 9,960.00 ",4110,14-05-2022,6445 / 6452,15-05-2022,DN09M9989,2714 2986 3198,,
Ayan traders,436,Monthly,297,20-05-2022,Maharashtra,Pune," 10,795.00 "," 10,675.00 ",5044,20-05-2022,6645 / 6648,22-05-2022,DN09M9989,2114 3219 2490,,
Ayan traders,462,Monthly,298,22-05-2022,Maharashtra,Pune," 7,300.00 "," 7,215.00 ",5293,22-05-2022,6724 / 6727,25-05-2022,MH04FJ4253,2914 3304 7292,,
Ayan traders,481,Monthly,299,25-05-2022,Maharashtra,Pune," 10,250.00 "," 10,105.00 ",5748,25-05-2022,6792 / 6796,28-05-2022,DN09M9989,2214 3411 1508,,
Eco polypet India,368,Monthly,24,13-05-2022,Maharashtra,Pune," 7,142.00 "," 7,110.00 ",2413,13-05-2022,6440 / 6443,14-05-2022,DN09L9032,2514 2983 3319,,
Eco polypet India,373,Monthly,25,13-05-2022,Maharashtra,Pune," 7,470.00 "," 7,465.00 ",4542,13-05-2022,6454 /6457,15-05-2022,DN09N9361,2914 2983 4343,,
Eco polypet India,392,Monthly,26,14-05-2022,Maharashtra,Pune," 9,400.00 "," 9,240.00 ",6286,14-05-2022,6516 / 6518,17-05-2022,DD01H9501,2614 3026 1713,,
Eco polypet India,408,Monthly,27,15-05-2022,Maharashtra,Pune," 10,550.00 "," 10,520.00 ",7732,15-05-2022,6560 / 6565,18-05-2022,DD01G9187,2214 3041 3763,,
Eco polypet India,460,Monthly,31,21-05-2022,Maharashtra,Pune," 8,400.00 "," 8,345.00 ",5535,21-05-2022,6720 / 6723,25-05-2022,DN09N9361,2914 3301 8412,,
Indian Recycler,324,Monthly,23,05-05-2022,Maharashtra,Pune," 9,028.00 "," 9,020.00 ",6188,05-05-2022,6303 /6321,09-05-2022,DN09P9467,2514 2667 6494,,
Indian Recycler,325,Monthly,21,05-05-2022,Maharashtra,Pune," 8,090.00 "," 8,055.00 ",3556,05-05-2022,6320 / 6323,10-05-2022,DN09V9474,2814 2658 5920,,
Jaiswal treading company,449,Monthly,175,20-05-2022,Maharashtra,Nashik," 9,185.00 "," 9,115.00 ",1918,20-05-2022,6683 / 6688,23-05-2022,MP09GG9336,2914 3255 8076,,
Jaimal akhtar mohd sadde kazi,333,Monthly,2,06-05-2022,Maharashtra,Thane," 9,690.00 "," 9,610.00 ",39023,06-05-2022,6340 / 6347,10-05-2022,MH03CV8930,2514 2710 6044,,
Kacchi eco plastic,326,Monthly,65/2022-23,05-05-2022,Maharashtra,Satara," 9,210.00 "," 9,165.00 ",254,05-05-2022,6322 / 6326,10-05-2022,GJ15AT5602,2314 2668 4305,,
Kacchi eco plastic,336,Monthly,67/2022-23,06-05-2022,Maharashtra,Satara," 5,680.00 "," 5,625.00 ",8701,06-05-2022,6348 /6355,11-05-2022,GJ15AT1315,2414 2703 3129,,
Kacchi eco plastic,339,Monthly,68/2022-23,06-05-2022,Maharashtra,Satara," 10,185.00 "," 10,120.00 ",7138,06-05-2022,6358 / 6363,11-05-2022,DD01A9388,2214 2710 1545,,
