aggeragator_name,gst,grn_number,type_of_submission,purchase_invoice_number,purchase_invoice_date,dispatched_state,dispatched_place, invoice_quantity , plant_quantity ,aggregator_wbs_number,aggregator_wbs_date,plant_wbs_number,plant_wbs_date,vehicle_number,eway_bill_number,lr_number,lr_date,category_name,material_name
AZLAAN TRADERS,,,MONTHLY ,7,12-04-2022,TAMIL NADU ,TIRUVANNAMALAI,"22,480.00","22,280.00",30298,08-04-2022,125130/125177,13-04-2022,TN28BA4596,5213 5869 2368,,,Rigid,PET
AZLAAN TRADERS,,,MONTHLY ,8,17-04-2022,TAMIL NADU ,TIRUVANNAMALAI,"15,885.00","15,800.00",51048,16-04-2022,126236/126196,20-04-2022,KA25C8739,5813 5998 3230,,,Rigid,PET
AZLAAN TRADERS,,,MONTHLY ,9,18-04-2022,TAMIL NADU ,TIRUVANNAMALAI,"16,200.00","16,100.00",685,18-04-2022,126355/126317,21-04-2022,KA25C9588,5413 6017 1905,,,Rigid,PET
RACE ECO CHAIN LIMITED ,,,MONTHLY ,GST-00221-22-23,21-04-2022,TAMIL NADU ,VIRUDHU NAGAR,"16,705.00","16,610.00",49527,18-04-2022,126343,21-04-2022,KA636778,4212 4583 0689,,,Rigid,PET
RACE ECO CHAIN LIMITED ,,,MONTHLY ,GST-00239-22-23,22-04-2022,TAMIL NADU ,VIRUDHU NAGAR,"17,180.00","17,140.00",49693/49646,19-04-2022,126511/126679/126572,23-04-2022,KA636647,4412 4607 9667,,,Rigid,PET
RACE ECO CHAIN LIMITED ,,,MONTHLY ,GST-00153-22-23,15-04-2022,TAMIL NADU ,VIRUDHU NAGAR,"17,250.00","17,210.00",48785/3119,12-04-2022,125560/125610/125616,16-04-2022,KA635210,4412 4449 8880,,,Rigid,PET
RACE ECO CHAIN LIMITED ,,,MONTHLY ,GST-00175-22-23,17-04-2022,TAMIL NADU ,VIRUDHU NAGAR,"17,450.00","17,300.00",23907,14-04-2022,125850/125892,18-04-2022,KA634948,4412 4500 6174,,,Rigid,PET
RACE ECO CHAIN LIMITED ,,,MONTHLY ,GST-00183-22-23,18-04-2022,TAMIL NADU ,VIRUDHU NAGAR,"17,415.00","17,150.00",49292,16-04-2022,125882/126017,19-04-2022,KA634942,4212 4512 0283,,,Rigid,PET
RACE ECO CHAIN LIMITED ,,,MONTHLY ,GST-00251-22-23,23-04-2022,TAMIL NADU ,VIRUDHU NAGAR,"17,140.00","17,020.00",49891,20-04-2022,126716/126745,23-04-2022,KA636455,4312 4635 2705,,,Rigid,PET
RACE ECO CHAIN LIMITED ,,,MONTHLY ,GST-00267-22-23,24-04-2022,TAMIL NADU ,VIRUDHU NAGAR,"17,810.00","17,090.00",25420/25614,21-04-2022,126983/126847,24-04-2022,KA635734,4512 4657 6017,,,Rigid,PET
