aggregator_name,gst,grn_number,type_of_submission,purchase_invoice_number,purchase_invoice_date,dispatched_state,dispatched_place,invoice_quantity,plant_quantity,aggregator_wbs_number,aggregator_wbs_date,plant_wbs_number,plant_wbs_date,vehicle_number,eway_bill_number,lr_number,lr_date,category_name,material_name,supply_type,trader_name,trader_add,trader_gst,trader_contact_person,trader_contact,
Ak Plastic,346578FTY567567,87,Monthly,275,09-04-2022,Maharashtra,Palghar,"9,810.00","9,705.00",10559,09-04-2022,5558 /5569,11-04-2022,MH03CV6268,2814 1626 3007,,,Rigid,LDPE,hg,ht,gh,hghg,jhhg,jg,jhg
Ak Plastic,346578FTY567568,140,Monthly,277,16-04-2022,Maharashtra,Palghar,"8,530.00","8,495.00",10767,16-04-2022,5737 /5732,17-04-2022,GJ15Z1658,2414 1902 9318,,,Rigid,LDPE,hg,ht,gh,hghg,jhhg,jg,jhg
Ak Plastic,346578FTY567569,162,Monthly,278,19-04-2022,Maharashtra,Palghar,"9,500.00","9,430.00",10864,19-04-2022,5803/5808,20-04-2022,MH48AG2318,2614 2011 4894,,,Rigid,LDPE,hg,ht,gh,hghg,jhhg,jg,jhg
Ak Plastic,346578FTY567570,198,Monthly,279,22-04-2022,Maharashtra,Palghar,"9,850.00","9,740.00",10948,22-04-2022,5914 / 5917,23-04-2022,MH03DV2903,2414 2147 3800,,,Rigid,LDPE,hg,ht,gh,hghg,jhhg,jg,jhg
Ak Plastic,346578FTY567571,234,Monthly,280,26-04-2022,Maharashtra,Palghar,"9,940.00","9,880.00",11078,26-04-2022,6027 / 6030,28-04-2022,MH03CV6911,2814 2300 7344,,,Rigid,LDPE,hg,ht,gh,hghg,jhhg,jg,
Ayan Traders,346578FTY567572,85,Monthly,289,08-04-2022,Maharashtra,Pune,"12,195.00","12,060.00",4431,08-04-2022,5560 /5562,11-04-2022,DN09M9989,2414 1584 3019,,,Rigid,LDPE,hg,ht,gh,hghg,jhhg,,
Ayan Traders,346578FTY567573,144,Monthly,290,16-04-2022,Maharashtra,Pune,"11,640.00","11,610.00",184,16-04-2022,5749 /5747,18-04-2022,DN09M9989,2114 1899 4469,,,Rigid,LDPE,hg,ht,gh,,jhhg,,
Ayan Traders,346578FTY567574,256,Monthly,293,28-04-2022,Maharashtra,Pune,"9,110.00","9,080.00",34,28-04-2022,6098 / 6100,30-04-2022,DD03K9565,2114 2378 6314,,,Rigid,LDPE,hg,ht,gh,,,,
Eco Polypet India,346578FTY567575,68,Monthly,2,07-04-2022,Maharashtra,Pune,"9,066.00","9,020.00",5989,07-04-2022,5505 /5509,09-04-2022,DN09P9467,2114 1540 4929,,,Rigid,LDPE,hg,ht,gh,,,,
Eco Polypet India,346578FTY567576,204,Monthly,14,23-04-2022,Maharashtra,Pune,"8,216.00","8,215.00",6082,23-04-2022,5935 / 5938,24-04-2022,GJ15XX4368,2214 2175 8011,,,Rigid,LDPE,hg,ht,gh,,,,
Eco Polypet India,346578FTY567577,230,Monthly,16,25-04-2022,Maharashtra,Pune,"8,075.00","7,995.00",1536,25-04-2022,6015 /6019,27-04-2022,DD03K9565,2314 2248 9704,,,Rigid,LDPE,hg,ht,,,,,
Indian Recycler,346578FTY567578,62,Monthly,3,06-04-2022,Maharashtra,Pune,"8,700.00","8,645.00",309,06-04-2022,5483 /5488,08-04-2022,DN09N9361,2614 1489 9361,,,Rigid,LDPE,hg,ht,,,,,
Indian Recycler,346578FTY567579,97,Monthly,7,10-04-2022,Maharashtra,Pune,"7,054.00","6,955.00",2231,10-04-2022,5592 /5585,12-04-2022,DN09P9404,2714 1632 2491,,,Rigid,LDPE,hg,ht,,,,,
Indian Recycler,346578FTY567580,142,Monthly,12,16-04-2022,Maharashtra,Pune,"8,085.00","8,035.00",5961,16-04-2022,5745 /5742,17-04-2022,DN09Q9752,2514 1902 3920,,,Rigid,LDPE,hg,ht,,,,,
Indian Recycler,346578FTY567581,145,Monthly,11,16-04-2022,Maharashtra,Pune,"7,412.00","7,345.00",2276,16-04-2022,5746 /5750,18-04-2022,DN09R9676,2914 1902 8534,,,Rigid,LDPE,hg,ht,,,,,
Indian Recycler,346578FTY567582,168,Monthly,14,19-04-2022,Maharashtra,Pune,"7,426.00","7,445.00",6052,19-04-2022,5820/5824,21-04-2022,DN09L9032,2414 2009 6020,,,Rigid,LDPE,hg,ht,,,,,
Indian Recycler,346578FTY567583,253,Monthly,17,27-04-2022,Maharashtra,Pune,"7,070.00","7,130.00",1870,27-04-2022,6083 / 6086,30-04-2022,DN09L9032,2914 2348 9219,,,Rigid,LDPE,hg,ht,,,,,
Kachhi Eco Plastic,346578FTY567584,58,Monthly,10/2022-23,05-04-2022,Maharashtra,Pune,"10,150.00","10,050.00",5264,05-04-2022,5473 / 5475,08-04-2022,GJ15AT5602,2514 1451 2197,,,Rigid,LDPE,hg,,,,,,
Kachhi Eco Plastic,SDDD3242,182,Monthly,34/2022-23,20-04-2022,Maharashtra,Pune,"5,510.00","5,464.00",8007,20-04-2022,5867/5869,22-04-2022,DD01A9061,2414 2053 2441,,,Rigid,LDPE,hg,,,,,,
Kachhi Eco Plastic,SDDD3243,183,Monthly,33/2022-23,20-04-2022,Maharashtra,Pune,"9,555.00","9,495.00",756,20-04-2022,5868/5872,22-04-2022,DD01A9388,2014 2050 4646,,,Rigid,LDPE,hg,,,,,,
Kachhi Eco Plastic,SDDD3244,184,Monthly,35/2022-23,20-04-2022,Maharashtra,Pune,"9,105.00","9,065.00",7778,20-04-2022,5871/5876,22-04-2022,DN09S9703,2414 2058 4314,,,Rigid,LDPE,hg,,,,,,
Khusi Plastic,SDDD3245,160,Monthly,13,18-04-2022,Maharashtra,Palghar,"8,110.00","8,050.00",35,18-04-2022,5796 /5798,20-04-2022,DD01C9946,2614 1964 4641,,,Rigid,LDPE,hg,,,,,,
Khusi Plastic,SDDD3246,170,Monthly,15,20-04-2022,Maharashtra,Palghar,"10,505.00","10,440.00",7619,19-04-2022,5823/5827,21-04-2022,DN09S9237,2014 2013 3271,,,Rigid,LDPE,hg,,,,,,
Khusi Plastic,SDDD3247,193,Monthly,16,22-04-2022,Maharashtra,Pune,"8,960.00","8,865.00",2829,22-04-2022,5898/5902,23-04-2022,GJ15AT5602,2214 2103 6355,,,Rigid,LDPE,hg,,,,,,
Khusi Plastic,SDDD3248,232,Monthly,21,26-04-2022,Maharashtra,Palghar,"7,715.00","7,680.00",4582,25-04-2022,6024 / 6026,27-04-2022,MH04FJ4253,2014 2253 4964,,,Rigid,LDPE,hg,,,,,,
Khusi Plastic,SDDD3249,240,Monthly,22,26-04-2022,Maharashtra,Pune,"9,445.00","9,390.00",40,26-04-2022,6046 /6047,29-04-2022,DN09Q9246,2914 2298 4182,,,Rigid,LDPE,hg,,,,,,
Khusi Plastic,SDDD3250,250,Monthly,23,27-04-2022,Maharashtra,Palghar,"10,000.00","9,890.00",9096,27-04-2022,6072 / 6075,30-04-2022,DN09S9237,2114 2348 6539,,,Rigid,LDPE,hg,,,,,,
Labbaik Plastic and Scrap Centre ,SDDD3251,194,Monthly,103,21-04-2022,Maharashtra,Pune,"6,955.00","6,885.00",8983,21-04-2022,5901/5904,23-04-2022,DN09P9150,2014 2098 7847,,,Rigid,LDPE,hg,,,,,,
Labbaik Plastic and Scrap Centre ,SDDD3252,228,Monthly,104,26-04-2022,Maharashtra,Pune,"7,590.00","7,410.00",9105,25-04-2022,6007 /6011,27-04-2022,DN09P9988,2014 2253 5079,,,Rigid,LDPE,hg,,,,,,
